rule_label,description,set,option,item_text,is_correct
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",1,1,pie,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",1,2,tie,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",1,3,kite,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",1,4,spy,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",1,5,sty,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",1,6,sky,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",2,1,pool,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",2,2,tool,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",2,3,cool,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",2,4,school,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",2,5,stool,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",2,6,spool,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",3,1,panda,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",3,2,taco,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",3,3,cabin,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",3,4,spray,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",3,5,stare,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",3,6,scare,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",4,1,pie,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",4,2,port,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",4,3,team,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",4,4,spy,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",4,5,sport,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",4,6,steam,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",5,1,cream,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",5,2,tall,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",5,3,king,1
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",5,4,screen,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",5,5,stall,0
R#1 — Aspirated voiceless stops (except after /s/),"Voiceless stops /p, t, k/ are aspirated when they are stressed, except when they follow /s/.",5,6,skit,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",1,1,leaden,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",1,2,chasm,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",1,3,film,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",1,4,kiln,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",1,5,open,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",1,6,lemon,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",2,1,hidden,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",2,2,sadden,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",2,3,seven,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",2,4,cabin,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",2,5,siren,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",2,6,oven,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",3,1,prism,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",3,2,chasm,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",3,3,prison,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",3,4,salmon,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",3,5,human,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",3,6,wagon,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",4,1,leaden,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",4,2,burden,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",4,3,happen,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",4,4,garden,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",4,5,autumn,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",4,6,woman,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",5,1,chasm,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",5,2,rhythm,1
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",5,3,column,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",5,4,basin,0
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",5,5,siren,0
